ad_slot_id,offer_id
eba7c364-3c07-4afe-bfbb-add7d60e60dd,
f5062b71-99bc-4352-9e7e-a29163e44f16,9393
d68d23d3-e644-4cf8-a5ea-9dd8c507a557,9415
b324b3de-40a3-4d67-a0a3-cc058aabf2e3,
127c7f61-a8d6-4aca-b550-f69d77073070,9073
43aaa238-de66-4260-b3d6-880c0ce4b104,9357
af213978-2ddb-42a8-a8b6-0f169a40f72d,
2ec39fce-7243-4b84-89e1-d31b77d960ea,9579
5040b0fa-832a-4550-99a1-8fa5c786b967,9718
33d109a4-a4e3-4c40-a421-b7b61c3f2591,
928825df-03fa-42ce-a1c3-7c42834ddee2,9116
2d48b5af-af0a-4358-afa9-8ebaba85e1f3,9044
5af5c6e9-3f95-438f-bdb5-e87f01e631f9,
be424bae-aa71-4ecf-92e2-992286d79a50,9340
63786ea2-93c6-4c15-9053-5ed8b82390cf,9046
a5a3c05c-afb6-4845-a4e7-f82741bd5de1,
a36490c6-91ac-4717-808d-41bc9c15788e,9757
7d2e975e-69d8-41c6-8ba6-6d9c65acfa55,9694
c9f30129-b3a3-4328-9326-04b746186335,
6303a312-39b1-4291-a454-ae8d132aa5f8,9192
dbe939f8-f1ad-4130-9b4c-5a5533b1cee8,9094
30f5b358-3ad6-4d9e-9928-80dc54182284,
e86367ad-511e-4856-a505-647cd52ac4f4,9463
4b3cc1ac-eba4-4aae-a132-96c5d8cde605,9197
4da9502e-f70e-45a4-adf3-100ff0c1e2d6,
74401584-88aa-4b7b-ad07-cd5c61bf88a2,9105
96bbab85-d072-4f1f-a8a6-2a7357b4f252,9131
e60d2c0f-e896-43dd-9aa4-db8436cf5d2a,
02f6579d-c308-49e3-83f6-497014441634,9235
5598d6ad-0063-43a4-af84-cd8002a0941d,9262
86b2bf09-f5e8-4829-8d42-e5be34f7514d,
270d0992-880e-4c58-a59b-ff1e0a035387,9764
c97634ff-f890-40cf-8760-9f674a5ab720,9272
32eaf202-d3ce-4e86-a2fc-79bcf19bac01,
